Date_Time,Latitude,Longitude
20170528220852,27.30690422,-84.1457541
20170528220952,27.30692161,-84.14561448
20170528221052,27.306939,-84.14547486
20170528221152,27.30695638,-84.14533524
20170528210651,27.30696083,-84.15387542
20170528221252,27.30697377,-84.14519562
20170528221352,27.30699116,-84.145056
20170528221452,27.30700855,-84.14491638
20170528221552,27.30702593,-84.14477676
20170528221652,27.30704332,-84.14463714
20170528221752,27.30706071,-84.14449752
20170528221852,27.3070781,-84.1443579
20170528221952,27.30709549,-84.14421828
20170528222052,27.30711287,-84.14407866
20170528222152,27.30713026,-84.14393904
20170528222252,27.30714765,-84.14379942
20170528222352,27.30716504,-84.1436598
20170528222452,27.30718243,-84.14352018
20170528222552,27.30719981,-84.14338056
20170528222652,27.3072172,-84.14324094
20170528222752,27.30723459,-84.14310132
20170528222852,27.30725198,-84.1429617
20170528222952,27.30726937,-84.14282208
20170528223052,27.30728675,-84.14268246
20170528223152,27.30730414,-84.14254284
20170528223252,27.30732153,-84.14240322
20170528210551,27.30732167,-84.15383667
20170528223352,27.30733892,-84.1422636
20170528223452,27.30735631,-84.14212398
20170528223552,27.30737369,-84.14198436
20170528223652,27.30739108,-84.14184474
20170528223752,27.30740847,-84.14170512
20170528223852,27.30742586,-84.1415655
20170528223952,27.30744325,-84.14142588
20170528224052,27.30746063,-84.14128626
20170528224152,27.30747802,-84.14114664
20170528224252,27.30749541,-84.14100702
20170528224352,27.3075128,-84.1408674
20170529000845,27.30752667,-84.13106333
20170529000939,27.30752667,-84.13106333
20170528224452,27.30753019,-84.14072778
20170528224552,27.30754757,-84.14058816
20170528224652,27.30756496,-84.14044854
20170528224752,27.30758235,-84.14030892
20170529001039,27.30759922,-84.13087362
20170528224852,27.30759974,-84.1401693
20170528224952,27.30761713,-84.14002968
20170528225052,27.30763451,-84.13989006
20170528225152,27.3076519,-84.13975044
20170528225252,27.30766929,-84.13961082
20170529001139,27.30767177,-84.13068391
20170528210451,27.3076825,-84.15379792
20170528225352,27.30768668,-84.1394712
20170528225452,27.30770407,-84.13933158
20170529000745,27.30771596,-84.13092809
20170528225552,27.30772145,-84.13919196
20170528225652,27.30773884,-84.13905234
20170529001239,27.30774432,-84.1304942
20170528225752,27.30775623,-84.13891272
20170528225852,27.30777362,-84.1387731
20170528225952,27.307791,-84.13863348
20170528230052,27.30780839,-84.13849386
20170529001339,27.30781686,-84.13030449
20170528230152,27.30782578,-84.13835424
20170528230252,27.30784317,-84.13821462
20170528230352,27.30786056,-84.138075
20170528230452,27.30787794,-84.13793538
20170529001439,27.30788941,-84.13011478
20170528230552,27.30789533,-84.13779576
20170529000645,27.30790524,-84.13079286
20170528230652,27.30791272,-84.13765614
20170528230752,27.30793011,-84.13751652
20170528230852,27.3079475,-84.1373769
20170529001539,27.30796196,-84.12992507
20170528230952,27.30796488,-84.13723728
20170528231052,27.30798227,-84.13709766
20170528231152,27.30799966,-84.13695804
20170528231252,27.30801705,-84.13681842
20170528231352,27.30803444,-84.1366788
20170529001639,27.30803451,-84.12973536
20170528210351,27.30804333,-84.15375917
20170528231452,27.30805182,-84.13653918
20170528231552,27.30806921,-84.13639956
20170528231652,27.3080866,-84.13625994
20170529000545,27.30809453,-84.13065762
20170528231752,27.30810399,-84.13612033
20170529001739,27.30810706,-84.12954566
20170528231852,27.30812138,-84.13598071
20170528231952,27.30813876,-84.13584109
20170528232052,27.30815615,-84.13570147
20170528232152,27.30817354,-84.13556185
20170529001839,27.30817961,-84.12935595
20170528232252,27.30819093,-84.13542223
20170528232352,27.30820832,-84.13528261
20170528232452,27.3082257,-84.13514299
20170528232552,27.30824309,-84.13500337
20170529001939,27.30825215,-84.12916624
20170528232652,27.30826048,-84.13486375
20170528232752,27.30827787,-84.13472413
20170529000445,27.30828381,-84.13052238
20170528232852,27.30829526,-84.13458451
20170528232952,27.30831264,-84.13444489
20170529002039,27.3083247,-84.12897653
20170528233052,27.30833003,-84.13430527
20170528233152,27.30834742,-84.13416565
20170528233252,27.30836481,-84.13402603
20170528233352,27.3083822,-84.13388641
20170529002139,27.30839725,-84.12878682
20170528233452,27.30839958,-84.13374679
20170528210251,27.30840417,-84.15372042
20170528233552,27.30841697,-84.13360717
20170528233652,27.30843436,-84.13346755
20170528233752,27.30845175,-84.13332793
20170528233852,27.30846914,-84.13318831
20170529002239,27.3084698,-84.12859711
20170529000345,27.3084731,-84.13038714
20170528233952,27.30848652,-84.13304869
20170528234052,27.30850391,-84.13290907
20170528234152,27.3085213,-84.13276945
20170528234252,27.30853869,-84.13262983
20170529002339,27.30854235,-84.1284074
20170528234352,27.30855607,-84.13249021
20170528234452,27.30857346,-84.13235059
20170528234552,27.30859085,-84.13221097
20170528234652,27.30860824,-84.13207135
20170529002439,27.3086149,-84.12821769
20170528234752,27.30862563,-84.13193173
20170528234852,27.30864301,-84.13179211
20170528234952,27.3086604,-84.13165249
20170529000245,27.30866238,-84.13025191
20170528235052,27.30867779,-84.13151287
20170529002539,27.30868744,-84.12802798
20170528235152,27.30869518,-84.13137325
20170528235252,27.30871257,-84.13123363
20170528235352,27.30872995,-84.13109401
20170528235452,27.30874734,-84.13095439
20170529002639,27.30875999,-84.12783827
20170528235552,27.30876473,-84.13081477
20170528210114,27.308765,-84.15368167
20170528210151,27.308765,-84.15368167
20170528235652,27.30878212,-84.13067515
20170528210014,27.30878766,-84.15384406
20170528235752,27.30879951,-84.13053553
20170528205914,27.30881031,-84.15400646
20170528235852,27.30881689,-84.13039591
20170529002739,27.30883254,-84.12764856
20170528205814,27.30883297,-84.15416885
20170528235952,27.30883428,-84.13025629
20170529000052,27.30885167,-84.13011667
20170529000145,27.30885167,-84.13011667
20170528205714,27.30885562,-84.15433124
20170528205614,27.30887828,-84.15449364
20170528205514,27.30890093,-84.15465603
20170529002839,27.30890509,-84.12745885
20170528205414,27.30892359,-84.15481842
20170528205314,27.30894624,-84.15498082
20170528205214,27.3089689,-84.15514321
20170529002939,27.30897764,-84.12726914
20170528205114,27.30899155,-84.1553056
20170528205014,27.30901421,-84.155468
20170528204914,27.30903686,-84.15563039
20170529003039,27.30905019,-84.12707943
20170528204814,27.30905952,-84.15579278
20170528204714,27.30908217,-84.15595518
20170528204614,27.30910483,-84.15611757
20170529003139,27.30912274,-84.12688973
20170528204514,27.30912748,-84.15627996
20170528204414,27.30915014,-84.15644236
20170528204314,27.30917279,-84.15660475
20170529003239,27.30919528,-84.12670002
20170528204214,27.30919545,-84.15676714
20170528204114,27.3092181,-84.15692954
20170528204014,27.30924076,-84.15709193
20170528203914,27.30926341,-84.15725432
20170529003339,27.30926783,-84.12651031
20170528203814,27.30928607,-84.15741672
20170528203714,27.30930872,-84.15757911
20170528203614,27.30933138,-84.1577415
20170529003439,27.30934038,-84.1263206
20170528203514,27.30935403,-84.1579039
20170528203414,27.30937669,-84.15806629
20170528203314,27.30939934,-84.15822868
20170529003539,27.30941293,-84.12613089
20170528203214,27.309422,-84.15839108
20170528203114,27.30944465,-84.15855347
20170528203014,27.30946731,-84.15871586
20170529003639,27.30948548,-84.12594118
20170528202914,27.30948996,-84.15887826
20170528202814,27.30951262,-84.15904065
20170528202714,27.30953527,-84.15920304
20170528202614,27.30955793,-84.15936544
