tag,datetime,date,time,hour,minute,year,month,type,ours,Species,TL,AG,CG,Cath,Condition,Fate,Comments,Recaptures
15523,19MAY17:18:57:13,05/19/2017,18:57:13,18,57,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:19:05:31,05/19/2017,19:05:31,19,5,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:19:09:22,05/19/2017,19:09:22,19,9,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:23:51,05/19/2017,22:23:51,22,23,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:27:54,05/19/2017,22:27:54,22,27,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:30:07,05/19/2017,22:30:07,22,30,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,19MAY17:22:31:28,05/19/2017,22:31:28,22,31,2017,5,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:05:02,06/03/2017,22:05:02,22,5,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:06:17,06/03/2017,22:06:17,22,6,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
15523,03JUN17:22:11:38,06/03/2017,22:11:38,22,11,2017,6,vmt,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
