File,Date,Time,Count,0:05,,,,,
476,1/4/17 20:35,,0,,,,,,
477,1/4/17 20:40,,0,,,,,,
478,1/4/17 20:45,,0,,,,,,
479,1/4/17 20:50,,0,,,,,,
480,1/4/17 20:55,,0,,,,,,
481,1/4/17 21:00,,0,,,,,,
482,1/4/17 21:05,,0,,,,,,
483,1/4/17 21:10,,0,,,,,,
484,1/4/17 21:15,,0,,,,,,
485,1/4/17 21:20,,0,,,,,,
486,1/4/17 21:25,,0,,,,,,
487,1/4/17 21:30,,0,,,,,,
488,1/4/17 21:35,,0,,,,,,
489,1/4/17 21:40,,0,,,,,,
490,1/4/17 21:45,,0,,,,,,
491,1/4/17 21:50,,0,,,,,,
492,1/4/17 21:55,,0,,,,,,
493,1/4/17 22:00,,0,,,,,,
494,1/4/17 22:05,,0,,,,,,
495,1/4/17 22:10,,0,,,,,,
496,1/4/17 22:15,,0,,,,,,
497,1/4/17 22:20,,0,,,,,,
498,1/4/17 22:25,,0,,,,,,
499,1/4/17 22:30,,0,,,,,,
500,1/4/17 22:35,,0,,,,,,
501,1/4/17 22:40,,0,,,,,,
502,1/4/17 22:45,,0,,,,,,
503,1/4/17 22:50,,0,,,,,,
504,1/4/17 22:55,,0,,,,,,
505,1/4/17 23:00,,0,,,,,,
506,1/4/17 23:05,,0,,,,,,
507,1/4/17 23:10,,0,,,,,,
508,1/4/17 23:15,,0,,,,,,
509,1/4/17 23:20,,0,,,,,,
510,1/4/17 23:25,,0,,,,,,
511,1/4/17 23:30,,0,,,,,,
512,1/4/17 23:35,,0,,,,,,
513,1/4/17 23:40,,0,,,,,,
514,1/4/17 23:45,,0,,,,,,
515,1/4/17 23:50,,0,,,,,,
516,1/4/17 23:55,,0,,,,,,
517,1/5/17 0:00,,0,,,,,,
518,1/5/17 0:05,,0,,,,,,
519,1/5/17 0:10,,0,,,,,,
520,1/5/17 0:15,,0,,,,,,
521,1/5/17 0:20,,0,,,,,,
522,1/5/17 0:25,,0,,,,,,
523,1/5/17 0:30,,0,,,,,,
524,1/5/17 0:35,,0,,,,,,
525,1/5/17 0:40,,0,,,,,,
526,1/5/17 0:45,,0,,,,,,
527,1/5/17 0:50,,0,,,,,,
528,1/5/17 0:55,,0,,,,,,
529,1/5/17 1:00,,0,,,,,,
530,1/5/17 1:05,,0,,,,,,
531,1/5/17 1:10,,0,,,,,,
532,1/5/17 1:15,,0,,,,,,
533,1/5/17 1:20,,0,,,,,,
534,1/5/17 1:25,,0,,,,,,
535,1/5/17 1:30,,0,,,,,,
536,1/5/17 1:35,,0,,,,,,
537,1/5/17 1:40,,0,,,,,,
538,1/5/17 1:45,,0,,,,,,
539,1/5/17 1:50,,0,,,,,,
540,1/5/17 1:55,,0,,,,,,
541,1/5/17 2:00,,0,,,,,,
542,1/5/17 2:05,,0,,,,,,
543,1/5/17 2:10,,0,,,,,,
544,1/5/17 2:15,,0,,,,,,
545,1/5/17 2:20,,0,,,,,,
546,1/5/17 2:25,,0,,,,,,
547,1/5/17 2:30,,0,,,,,,
548,1/5/17 2:35,,0,,,,,,
549,1/5/17 2:40,,0,,,,,,
550,1/5/17 2:45,,0,,,,,,
551,1/5/17 2:50,,0,,,,,,
552,1/5/17 2:55,,0,,,,,,
553,1/5/17 3:00,,0,,,,,,
554,1/5/17 3:05,,0,,,,,,
555,1/5/17 3:10,,0,,,,,,
556,1/5/17 3:15,,0,,,,,,
557,1/5/17 3:20,,0,,,,,,
558,1/5/17 3:25,,0,,,,,,
559,1/5/17 3:30,,0,,,,,,
560,1/5/17 3:35,,0,,,,,,
561,1/5/17 3:40,,0,,,,,,
562,1/5/17 3:45,,0,,,,,,
563,1/5/17 3:50,,0,,,,,,
564,1/5/17 3:55,,0,,,,,,
565,1/5/17 4:00,,0,,,,,,
566,1/5/17 4:05,,0,,,,,,
567,1/5/17 4:10,,0,,,,,,
568,1/5/17 4:15,,0,,,,,,
569,1/5/17 4:20,,0,,,,,,
570,1/5/17 4:25,,0,,,,,,
571,1/5/17 4:30,,0,,,,,,
572,1/5/17 4:35,,0,,,,,,
573,1/5/17 4:40,,0,,,,,,
574,1/5/17 4:45,,0,,,,,,
575,1/5/17 4:50,,0,,,,,,
576,1/5/17 4:55,,0,,,,,,
577,1/5/17 5:00,,0,,,,,,
578,1/5/17 5:05,,0,,,,,,
579,1/5/17 5:10,,0,,,,,,
580,1/5/17 5:15,,0,,,,,,
581,1/5/17 5:20,,0,,,,,,
582,1/5/17 5:25,,0,,,,,,
583,1/5/17 5:30,,0,,,,,,
584,1/5/17 5:35,,0,,,,,,
585,1/5/17 5:40,,0,,,,,,
586,1/5/17 5:45,,0,,,,,,
587,1/5/17 5:50,,0,,,,,,
588,1/5/17 5:55,,0,,,,,,
589,1/5/17 6:00,,0,,,,,,
590,1/5/17 6:05,,0,,,,,,
591,1/5/17 6:10,,0,,,,,,
592,1/5/17 6:15,,0,,,,,,
593,1/5/17 6:20,,0,,,,,,
594,1/5/17 6:25,,0,,,,,,
595,1/5/17 6:30,,0,,,,,,
596,1/5/17 6:35,,0,,,,,,
597,1/5/17 6:40,,0,,,,,,
598,1/5/17 6:45,,0,,,,,,
599,1/5/17 6:50,,0,,,,,,
600,1/5/17 6:55,,0,,,,,,
601,1/5/17 7:00,,0,,,,,,
602,1/5/17 7:05,,0,,,,,,
